,VAR_NAME,IV
0,acc_now_delinq,4.269608289067206e-05
1,addr_state,0.01622549764670957
2,annual_inc,0.05846397017459445
3,collections_12_mths_ex_med,1.3275890753753485e-05
4,delinq_2yrs,0.0019735056557105197
5,dti,0.08936788807208233
6,emp_length,0.011040750825045768
7,emp_title,0.22717868399683241
8,grade,0.39045001206410135
9,home_ownership,0.016073752118926615
10,inq_last_6mths,0.013937645853168274
11,installment,0.018642014982102398
12,int_rate,0.4215687189530218
13,issue_d,0.04345057920048304
14,loan_amnt,0.029465357957076044
15,open_acc,0.0020196120582784503
16,pub_rec,0.0003658565146302517
17,purpose,0.026469943740752965
18,revol_bal,0.001633593222095579
19,revol_util,0.062208603027695396
20,term,0.1560574612176428
21,title,0.12310624112632824
22,total_acc,0.004954385857908188
